IMAGE, DETECTOR, DESCRIPTOR, MATCHER, SELECTOR, #KEYPOINTS, #DESCRIPTORS, #MATCHED KEYPOINTS, TTC CAMERA, TTC LIDAR, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHER ELAPSED TIME
1, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1759, 9792, 103, 13.0894, 12.5156, 14.477, 2.74393, 0.717436
2, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1820, 10048, 99, 13.1626, 12.6142, 12.8907, 2.77575, 0.68986
3, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1850, 9728, 98, 12.5261, 14.091, 14.0653, 2.70994, 0.877557
4, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1828, 10048, 99, 13.0791, 16.6894, 16.0938, 2.79056, 0.695804
5, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1806, 9344, 99, 12.3509, 15.7465, 12.7797, 2.63658, 0.673836
6, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1877, 9216, 101, 14.2385, 12.7835, 12.8737, 2.62361, 0.65167
7, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1894, 9152, 96, 13.3382, 11.9844, 12.9672, 2.62556, 0.618642
8, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1889, 9408, 107, 13.4099, 13.1241, 12.8561, 2.63763, 1.19044
9, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1917, 8832, 101, 12.3713, 13.0241, 14.0089, 2.5639, 0.61149
10, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1874, 8384, 97, 14.329, 11.1746, 13.9902, 2.50955, 0.569882
11, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1912, 8832, 85, 11.4547, 12.8086, 12.8476, 4.03154, 0.566151
12, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1930, 8960, 102, 12.306, 8.95978, 14.0393, 2.57497, 0.606418
13, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1881, 8832, 104, 12.4032, 9.96439, 12.9393, 2.50566, 0.581317
14, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1886, 8128, 101, 15.977, 9.59863, 13.4407, 2.47631, 0.558434
15, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1957, 9408, 93, 11.7034, 8.52157, 12.6022, 2.64751, 0.570596
16, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1888, 8576, 93, 11.5903, 9.51552, 13.2762, 2.50833, 0.630984
17, SHITOMASI, BRISK, MAT_BF, SEL_KNN, 1919, 8960, 93, 12.9008, 9.61241, 13.8653, 4.11048, 0.570916
1, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1759, 4896, 129, 19.4223, 12.5156, 12.5551, 1.2753, 0.640452
2, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1820, 5024, 135, 17.4397, 12.6142, 12.7608, 1.3022, 0.705385
3, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1850, 4864, 134, 13.8505, 14.091, 13.0634, 1.32474, 0.670209
4, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1828, 5024, 133, 12.7779, 16.6894, 12.832, 1.29276, 0.722666
5, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1806, 4672, 130, 13.0276, 15.7465, 13.2922, 1.32968, 0.721126
6, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1877, 4608, 134, 13.0276, 12.7835, 12.6617, 1.25471, 0.652733
7, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1894, 4576, 123, 13.8277, 11.9844, 12.7395, 1.26453, 0.605729
8, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1889, 4704, 130, 14.8719, 13.1241, 14.3379, 1.39889, 0.92066
9, SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 1917, 4416, 124, 11.3807, 13.0241, 13.1305, 1.23051, 0.597814
